exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,encouragement_using_masks,encouragement_using_gloves,encouragement_using_hand_sanitizers,wide_temperature_tests,lockdown_level,country,province,start_date
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bury,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Caerphilly County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Calderdale,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cambridgeshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Camden,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cardiff and Vale,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Carmarthenshire County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Central Bedfordshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Ceredigion County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cheshire East,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cheshire West and Chester,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,City and County of Swansea,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,City of Cardiff Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Conwy County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cornwall and Isles of Scilly,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,County Durham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Coventry,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Croydon,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cumbria,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Cwm Taf,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Darlington,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Denbighshire County Council,2020-03-24 00:00:00
