exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,lockdown_level,country,province,start_date
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Liverpool,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lothian,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Luton,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Manchester,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Medway,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Merthyr Tydfil County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Merton,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Middlesbrough,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Milton Keynes,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Monmouthshire County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Neath Port Talbot Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Newcastle upon Tyne,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Newham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Newport City Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Norfolk,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,North East Lincolnshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,North Lincolnshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,North Somerset,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,North Tyneside,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,North Yorkshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Northamptonshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Northumberland,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Nottingham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Nottinghamshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Oldham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Oxfordshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Pembrokeshire County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Peterborough,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Plymouth,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Portsmouth,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Powys,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Powys County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Reading,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Redbridge,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Redcar and Cleveland,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Resident outside Wales,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Residential area to be confirmed,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Rhondda Cynon Taf County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Richmond upon Thames,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Rochdale,2020-03-24 00:00:00
