exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,country,province,start_date,lockdown_level
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Liguria,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Trento,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Friuli Venezia Giulia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Sicilia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Campania,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Veneto,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Puglia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Abruzzo,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Marche,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,La Rioja,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Basque,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Castilla - La Mancha,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Catalunya,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Cantabria,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Murcia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Galicia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Asturias,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,Washington,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,New York,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,California,01/01/2019 00:00,0
